Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.04450"
"0.05000","-0.00195","-0.06668"
"0.10000","-0.01270","0.01354"
"0.15000","-0.03109","0.03039"
"0.20000","-0.04989","0.01658"
"0.25000","-0.06673","0.03642"
"0.30000","-0.08328","0.00408"
"0.35000","-0.10018","0.00918"
"0.40000","-0.11672","0.01633"
"0.45000","-0.13340","0.00548"
"0.50000","-0.15006","0.01816"
"0.55000","-0.16698","0.01613"
"0.60000","-0.18347","0.01363"
"0.65000","-0.20018","0.03449"
"0.70000","-0.21696","0.03140"
"0.75000","-0.23363","0.01743"
"0.80000","-0.25016","0.02959"
"0.85000","-0.26684","0.01513"
"0.90000","-0.28356","0.01042"
"0.95000","-0.30015","0.02423"
"1.00000","-0.31677","0.01757"
"1.05000","-0.33347","0.01907"
"1.10000","-0.35033","0.02835"
"1.15000","-0.36694","0.01010"
"1.20000","-0.38357","0.03149"
"1.25000","-0.40034","0.02652"
"1.30000","-0.41704","0.03260"
"1.35000","-0.43353","0.02757"
"1.40000","-0.45018","0.02374"
"1.45000","-0.46680","0.02924"
"1.50000","-0.48362","0.03412"
"1.55000","-0.50009","0.00810"
"1.60000","-0.51683","0.03009"
"1.65000","-0.53354","0.01798"
"1.70000","-0.55041","0.02952"
"1.75000","-0.56685","0.02422"
"1.80000","-0.58367","0.02838"
"1.85000","-0.60022","0.02701"
"1.90000","-0.61699","0.03243"
"1.95000","-0.63331","0.02438"
"2.00000","-0.65028","0.01996"
"2.05000","-0.66682","0.02348"
"2.10000","-0.68356","0.02098"
"2.15000","-0.70002","0.01136"
"2.20000","-0.71702","0.02988"
"2.25000","-0.73367","0.01157"
"2.30000","-0.75035","0.01902"
"2.35000","-0.76674","0.02533"
"2.40000","-0.78361","0.02340"
"2.45000","-0.80015","0.00815"
"2.50000","-0.81675","0.01440"
"2.55000","-0.83340","0.00904"
"2.60000","-0.85035","0.00809"
"2.65000","-0.86686","0.01735"
"2.70000","-0.88352","0.01803"
"2.75000","-0.90032","0.01120"
"2.80000","-0.91706","0.01600"
"2.85000","-0.93359","0.01834"
"2.90000","-0.95014","0.01718"
"2.95000","-0.96687","0.02077"
"3.00000","-0.98351","0.01981"
"3.05000","-1.00012","0.01379"
"3.10000","-1.01673","0.01510"
"3.15000","-1.03363","0.01746"
"3.20000","-1.05031","0.02215"
"3.25000","-1.06689","0.02508"
"3.30000","-1.08359","0.01426"
"3.35000","-1.10040","0.02248"
"3.40000","-1.11692","0.01327"
"3.45000","-1.13347","0.02709"
"3.50000","-1.15008","0.01576"
"3.55000","-1.16692","0.01056"
"3.60000","-1.18346","0.01936"
"3.65000","-1.20016","0.01477"
"3.70000","-1.21685","-0.00062"
"3.75000","-1.23377","-0.01272"
"3.80000","-1.25019","-0.02197"
"3.85000","-1.26697","-0.01362"
"3.90000","-1.28356","-0.03386"
"3.95000","-1.30034","-0.02088"
"4.00000","-1.31661","-0.03419"
"4.05000","-1.33346","-0.03920"
"4.10000","-1.35011","-0.05458"
"4.15000","-1.36691","-0.06954"
"4.20000","-1.38331","-0.08564"
"4.25000","-1.40025","-0.08315"
"4.30000","-1.41705","-0.09937"
"4.35000","-1.43375","-0.08550"
"4.40000","-1.45012","-0.10931"
"4.45000","-1.46690","-0.10206"
"4.50000","-1.48348","-0.10025"
"4.55000","-1.50009","-0.10265"
"4.60000","-1.51675","-0.10072"
"4.65000","-1.53367","-0.10643"
"4.70000","-1.55026","-0.11344"
"4.75000","-1.56688","-0.11739"
"4.80000","-1.58364","-0.12613"
"4.85000","-1.60038","-0.11737"
"4.90000","-1.61692","-0.12809"
"4.95000","-1.63342","-0.13638"
"5.00000","-1.65014","-0.13474"
"5.05000","-1.66678","-0.14030"
"5.10000","-1.68348","-0.13781"
"5.15000","-1.70005","-0.13849"
"5.20000","-1.71692","-0.12783"
"5.25000","-1.73363","-0.13502"
"5.30000","-1.75029","-0.13953"
"5.35000","-1.76695","-0.13486"
"5.40000","-1.78374","-0.13852"
"5.45000","-1.80028","-0.14995"
"5.50000","-1.81687","-0.14953"
"5.55000","-1.83342","-0.16498"
"5.60000","-1.85027","-0.14911"
"5.65000","-1.86682","-0.15986"
"5.70000","-1.88348","-0.15688"
"5.75000","-1.90020","-0.15807"
"5.80000","-1.91711","-0.16346"
"5.85000","-1.93353","-0.15934"
"5.90000","-1.95024","-0.17118"
"5.95000","-1.96679","-0.16742"
"6.00000","-1.98364","-0.17293"
"6.05000","-1.99996","-0.19521"
"6.10000","-2.01683","-0.18750"
"6.15000","-2.03348","-0.20449"
"6.20000","-2.05032","-0.19391"
"6.25000","-2.06673","-0.20424"
"6.30000","-2.08361","-0.20500"
"6.35000","-2.10036","-0.20715"
"6.40000","-2.11708","-0.21285"
"6.45000","-2.13342","-0.22158"
"6.50000","-2.15023","-0.22321"
"6.55000","-2.16691","-0.22662"
"6.60000","-2.18351","-0.22209"
"6.65000","-2.20003","-0.24678"
"6.70000","-2.21693","-0.22969"
"6.75000","-2.23356","-0.23589"
"6.80000","-2.25018","-0.24040"
"6.85000","-2.26689","-0.23876"
"6.90000","-2.28368","-0.23461"
"6.95000","-2.30028","-0.23707"
"7.00000","-2.31677","-0.24363"
"7.05000","-2.33345","-0.24598"
"7.10000","-2.35022","-0.25282"
"7.15000","-2.36692","-0.25292"
"7.20000","-2.38339","-0.25647"
"7.25000","-2.40028","-0.25743"
"7.30000","-2.41704","-0.25983"
"7.35000","-2.43372","-0.26433"
"7.40000","-2.45022","-0.26631"
"7.45000","-2.46697","-0.26392"
"7.50000","-2.48357","-0.27036"
"7.55000","-2.50018","-0.27465"
"7.60000","-2.51670","-0.28137"
"7.65000","-2.53361","-0.28404"
"7.70000","-2.55021","-0.28818"
"7.75000","-2.56687","-0.29076"
"7.80000","-2.58343","-0.27887"
"7.85000","-2.60046","-0.28481"
"7.90000","-2.61694","-0.29258"
"7.95000","-2.63357","-0.27888"
"8.00000","-2.65015","-0.29494"
"8.05000","-2.66697","-0.29348"
"8.10000","-2.68333","-0.30767"
"8.15000","-2.70011","-0.31636"
"8.20000","-2.71680","-0.31902"
"8.25000","-2.73365","-0.31741"
"8.30000","-2.75008","-0.32072"
"8.35000","-2.76689","-0.32208"
"8.40000","-2.78373","-0.30881"
"8.45000","-2.80048","-0.31281"
"8.50000","-2.81672","-0.31995"
"8.55000","-2.83348","-0.30961"
"8.60000","-2.85017","-0.31214"
"8.65000","-2.86683","-0.31108"
"8.70000","-2.88334","-0.32247"
"8.75000","-2.90030","-0.31400"
"8.80000","-2.91699","-0.31609"
"8.85000","-2.93361","-0.32276"
"8.90000","-2.95025","-0.30108"
"8.95000","-2.96701","-0.31216"
"9.00000","-2.98366","-0.30380"
"9.05000","-3.00021","-0.30313"
"9.10000","-3.01677","-0.30228"
"9.15000","-3.03350","-0.30611"
"9.20000","-3.05024","-0.30847"
"9.25000","-3.06672","-0.30680"
"9.30000","-3.08352","-0.31228"
"9.35000","-3.10033","-0.30149"
"9.40000","-3.11708","-0.30735"
"9.45000","-3.13353","-0.29731"
"9.50000","-3.15026","-0.30600"
"9.55000","-3.16691","-0.30648"
"9.60000","-3.18358","-0.30975"
"9.65000","-3.20002","-0.31789"
"9.70000","-3.21691","-0.31922"
"9.75000","-3.23350","-0.31053"
"9.80000","-3.25019","-0.31326"
"9.85000","-3.26676","-0.32258"
"9.90000","-3.28377","-0.31004"
"9.95000","-3.30026","-0.32013"
"10.00000","-3.31692","-0.31382"
"10.05000","-3.33345","-0.32403"
"10.10000","-3.35031","-0.31758"
"10.15000","-3.36675","-0.32960"
"10.20000","-3.38345","-0.33283"
"10.25000","-3.40010","-0.32438"
"10.30000","-3.41698","-0.32900"
"10.35000","-3.43345","-0.33802"
"10.40000","-3.45018","-0.33244"
"10.45000","-3.46702","-0.34312"
"10.50000","-3.48379","-0.33265"
"10.55000","-3.50014","-0.33989"
"10.60000","-3.51677","-0.34066"
"10.65000","-3.53353","-0.34484"
"10.70000","-3.55022","-0.34532"
"10.75000","-3.56675","-0.34208"
"10.80000","-3.58358","-0.32757"
"10.85000","-3.60029","-0.33194"
"10.90000","-3.61695","-0.33603"
"10.95000","-3.63355","-0.33059"
"11.00000","-3.65030","-0.33930"
"11.05000","-3.66699","-0.34054"
"11.10000","-3.68351","-0.33728"
"11.15000","-3.70008","-0.34741"
"11.20000","-3.71676","-0.35369"
"11.25000","-3.73359","-0.34159"
"11.30000","-3.75007","-0.35046"
"11.35000","-3.76685","-0.35011"
"11.40000","-3.78366","-0.35040"
"11.45000","-3.80044","-0.35035"
"11.50000","-3.81686","-0.35469"
"11.55000","-3.83359","-0.34780"
"11.60000","-3.85029","-0.34362"
"11.65000","-3.86692","-0.34988"
"11.70000","-3.88330","-0.35741"
"11.75000","-3.90023","-0.34729"
"11.80000","-3.91691","-0.35754"
"11.85000","-3.93359","-0.36100"
"11.90000","-3.95008","-0.35900"
"11.95000","-3.96709","-0.34982"
"12.00000","-3.98363","-0.36494"
"12.05000","-4.00026","-0.35280"
"12.10000","-4.01671","-0.36174"
"12.15000","-4.03360","-0.35272"
"12.20000","-4.05007","-0.36662"
"12.25000","-4.06677","-0.34905"
"12.30000","-4.08339","-0.34686"
"12.35000","-4.10034","-0.35576"
"12.40000","-4.11682","-0.34631"
"12.45000","-4.13352","-0.35144"
"12.50000","-4.15032","-0.35466"
"12.55000","-4.16713","-0.34792"
"12.60000","-4.18353","-0.35057"
"12.65000","-4.20005","-0.34912"
"12.70000","-4.21686","-0.35821"
"12.75000","-4.23354","-0.34557"
"12.80000","-4.25007","-0.34955"
"12.85000","-4.26682","-0.35130"
"12.90000","-4.28361","-0.34490"
"12.95000","-4.30030","-0.34795"
"13.00000","-4.31692","-0.34269"
"13.05000","-4.33358","-0.35365"
"13.10000","-4.35035","-0.35957"
"13.15000","-4.36689","-0.36502"
"13.20000","-4.38340","-0.37419"
"13.25000","-4.40006","-0.35755"
"13.30000","-4.41694","-0.36066"
"13.35000","-4.43348","-0.36349"
"13.40000","-4.45015","-0.35853"
"13.45000","-4.46699","-0.35774"
"13.50000","-4.48379","-0.35797"
"13.55000","-4.50026","-0.37434"
"13.60000","-4.51692","-0.37512"
"13.65000","-4.53363","-0.36622"
"13.70000","-4.55034","-0.38172"
"13.75000","-4.56664","-0.37502"
